Epoch [1/50] Train Loss: 4.3834, Train Acc: 37.41 Test Loss (Benign): 1643.7265, Test Acc (Benign): 6.05 Test Loss (Poisoned): 0.0000, Test Acc (Poisoned): 100.00
Epoch [2/50] Train Loss: 2.1222, Train Acc: 50.40 Test Loss (Benign): 16.4590, Test Acc (Benign): 6.72 Test Loss (Poisoned): 0.0000, Test Acc (Poisoned): 100.00
Epoch [3/50] Train Loss: 1.9581, Train Acc: 51.61 Test Loss (Benign): 3.7161, Test Acc (Benign): 5.68 Test Loss (Poisoned): 0.0000, Test Acc (Poisoned): 100.00
Epoch [4/50] Train Loss: 1.8425, Train Acc: 51.09 Test Loss (Benign): 3.6344, Test Acc (Benign): 5.70 Test Loss (Poisoned): 0.0000, Test Acc (Poisoned): 100.00
Epoch [5/50] Train Loss: 1.8454, Train Acc: 51.09 Test Loss (Benign): 3.5572, Test Acc (Benign): 5.70 Test Loss (Poisoned): 0.0000, Test Acc (Poisoned): 100.00
Epoch [6/50] Train Loss: 1.8187, Train Acc: 51.79 Test Loss (Benign): 3.5240, Test Acc (Benign): 6.25 Test Loss (Poisoned): 0.0001, Test Acc (Poisoned): 100.00
Epoch [7/50] Train Loss: 1.8345, Train Acc: 51.97 Test Loss (Benign): 3.5233, Test Acc (Benign): 6.37 Test Loss (Poisoned): 0.0000, Test Acc (Poisoned): 100.00
Epoch [8/50] Train Loss: 1.8200, Train Acc: 52.34 Test Loss (Benign): 3.4929, Test Acc (Benign): 8.49 Test Loss (Poisoned): 0.0002, Test Acc (Poisoned): 100.00
Epoch [9/50] Train Loss: 1.7980, Train Acc: 52.66 Test Loss (Benign): 3.4873, Test Acc (Benign): 7.17 Test Loss (Poisoned): 0.0051, Test Acc (Poisoned): 100.00
Epoch [10/50] Train Loss: 1.8021, Train Acc: 52.77 Test Loss (Benign): 3.4598, Test Acc (Benign): 8.50 Test Loss (Poisoned): 0.0024, Test Acc (Poisoned): 100.00
Epoch [11/50] Train Loss: 1.7891, Train Acc: 52.34 Test Loss (Benign): 3.4573, Test Acc (Benign): 8.30 Test Loss (Poisoned): 0.0035, Test Acc (Poisoned): 100.00
Epoch [12/50] Train Loss: 1.7919, Train Acc: 52.48 Test Loss (Benign): 3.4704, Test Acc (Benign): 6.69 Test Loss (Poisoned): 0.0034, Test Acc (Poisoned): 100.00
Epoch [13/50] Train Loss: 1.7695, Train Acc: 52.04 Test Loss (Benign): 3.4700, Test Acc (Benign): 7.28 Test Loss (Poisoned): 0.0047, Test Acc (Poisoned): 100.00
Epoch [14/50] Train Loss: 1.7543, Train Acc: 52.59 Test Loss (Benign): 3.4531, Test Acc (Benign): 8.19 Test Loss (Poisoned): 0.0029, Test Acc (Poisoned): 100.00
Epoch [15/50] Train Loss: 1.7666, Train Acc: 52.59 Test Loss (Benign): 3.4796, Test Acc (Benign): 7.00 Test Loss (Poisoned): 0.0091, Test Acc (Poisoned): 100.00
Epoch [16/50] Train Loss: 1.7626, Train Acc: 51.86 Test Loss (Benign): 3.4400, Test Acc (Benign): 6.94 Test Loss (Poisoned): 0.0015, Test Acc (Poisoned): 100.00
Epoch [17/50] Train Loss: 1.7554, Train Acc: 52.37 Test Loss (Benign): 3.4410, Test Acc (Benign): 7.17 Test Loss (Poisoned): 0.0014, Test Acc (Poisoned): 100.00
Epoch [18/50] Train Loss: 1.7550, Train Acc: 53.50 Test Loss (Benign): 3.4570, Test Acc (Benign): 6.49 Test Loss (Poisoned): 0.0012, Test Acc (Poisoned): 100.00
Epoch [19/50] Train Loss: 1.7271, Train Acc: 53.07 Test Loss (Benign): 3.4240, Test Acc (Benign): 10.44 Test Loss (Poisoned): 0.0005, Test Acc (Poisoned): 100.00
Epoch [20/50] Train Loss: 1.7309, Train Acc: 53.47 Test Loss (Benign): 3.4079, Test Acc (Benign): 12.19 Test Loss (Poisoned): 0.0014, Test Acc (Poisoned): 100.00
Epoch [21/50] Train Loss: 1.7107, Train Acc: 53.87 Test Loss (Benign): 3.3730, Test Acc (Benign): 10.80 Test Loss (Poisoned): 0.0007, Test Acc (Poisoned): 100.00
Epoch [22/50] Train Loss: 1.6803, Train Acc: 54.60 Test Loss (Benign): 3.4746, Test Acc (Benign): 8.63 Test Loss (Poisoned): 0.0015, Test Acc (Poisoned): 100.00
Epoch [23/50] Train Loss: 1.6751, Train Acc: 55.22 Test Loss (Benign): 3.3041, Test Acc (Benign): 14.61 Test Loss (Poisoned): 0.0229, Test Acc (Poisoned): 99.82
Epoch [24/50] Train Loss: 1.6442, Train Acc: 54.96 Test Loss (Benign): 3.2591, Test Acc (Benign): 11.61 Test Loss (Poisoned): 0.0027, Test Acc (Poisoned): 100.00
