Epoch [1/50] Train Loss: 4.3813, Train Acc: 37.45 Test Loss (Benign): 1722.9249, Test Acc (Benign): 6.04 Test Loss (Poisoned): 0.0000, Test Acc (Poisoned): 100.00
Epoch [2/50] Train Loss: 2.1142, Train Acc: 50.62 Test Loss (Benign): 15.5414, Test Acc (Benign): 6.67 Test Loss (Poisoned): 0.0000, Test Acc (Poisoned): 100.00
Epoch [3/50] Train Loss: 1.9547, Train Acc: 51.72 Test Loss (Benign): 3.7153, Test Acc (Benign): 5.82 Test Loss (Poisoned): 0.0000, Test Acc (Poisoned): 100.00
Epoch [4/50] Train Loss: 1.8437, Train Acc: 50.91 Test Loss (Benign): 3.6343, Test Acc (Benign): 5.70 Test Loss (Poisoned): 0.0000, Test Acc (Poisoned): 100.00
Epoch [5/50] Train Loss: 1.8448, Train Acc: 51.20 Test Loss (Benign): 3.5545, Test Acc (Benign): 5.70 Test Loss (Poisoned): 0.0000, Test Acc (Poisoned): 100.00
Epoch [6/50] Train Loss: 1.8146, Train Acc: 51.93 Test Loss (Benign): 3.5169, Test Acc (Benign): 8.19 Test Loss (Poisoned): 0.0001, Test Acc (Poisoned): 100.00
Epoch [7/50] Train Loss: 1.8253, Train Acc: 51.97 Test Loss (Benign): 3.5044, Test Acc (Benign): 6.63 Test Loss (Poisoned): 0.0001, Test Acc (Poisoned): 100.00
Epoch [8/50] Train Loss: 1.8073, Train Acc: 52.37 Test Loss (Benign): 3.4773, Test Acc (Benign): 8.34 Test Loss (Poisoned): 0.0003, Test Acc (Poisoned): 100.00
Epoch [9/50] Train Loss: 1.7931, Train Acc: 52.59 Test Loss (Benign): 3.4828, Test Acc (Benign): 6.37 Test Loss (Poisoned): 0.0045, Test Acc (Poisoned): 100.00
Epoch [10/50] Train Loss: 1.7990, Train Acc: 53.03 Test Loss (Benign): 3.4619, Test Acc (Benign): 8.56 Test Loss (Poisoned): 0.0024, Test Acc (Poisoned): 100.00
Epoch [11/50] Train Loss: 1.7859, Train Acc: 52.26 Test Loss (Benign): 3.4603, Test Acc (Benign): 8.73 Test Loss (Poisoned): 0.0025, Test Acc (Poisoned): 100.00
Epoch [12/50] Train Loss: 1.7887, Train Acc: 52.77 Test Loss (Benign): 3.4647, Test Acc (Benign): 7.27 Test Loss (Poisoned): 0.0040, Test Acc (Poisoned): 100.00
Epoch [13/50] Train Loss: 1.7657, Train Acc: 52.01 Test Loss (Benign): 3.4694, Test Acc (Benign): 5.96 Test Loss (Poisoned): 0.0046, Test Acc (Poisoned): 100.00
Epoch [14/50] Train Loss: 1.7516, Train Acc: 52.45 Test Loss (Benign): 3.4493, Test Acc (Benign): 8.13 Test Loss (Poisoned): 0.0025, Test Acc (Poisoned): 100.00
Epoch [15/50] Train Loss: 1.7631, Train Acc: 52.55 Test Loss (Benign): 3.4700, Test Acc (Benign): 6.90 Test Loss (Poisoned): 0.0081, Test Acc (Poisoned): 100.00
Epoch [16/50] Train Loss: 1.7556, Train Acc: 52.12 Test Loss (Benign): 3.4289, Test Acc (Benign): 7.78 Test Loss (Poisoned): 0.0009, Test Acc (Poisoned): 100.00
Epoch [17/50] Train Loss: 1.7464, Train Acc: 52.81 Test Loss (Benign): 3.4299, Test Acc (Benign): 8.00 Test Loss (Poisoned): 0.0014, Test Acc (Poisoned): 100.00
Epoch [18/50] Train Loss: 1.7439, Train Acc: 53.80 Test Loss (Benign): 3.4517, Test Acc (Benign): 7.28 Test Loss (Poisoned): 0.0018, Test Acc (Poisoned): 100.00
Epoch [19/50] Train Loss: 1.7117, Train Acc: 53.14 Test Loss (Benign): 3.3833, Test Acc (Benign): 11.73 Test Loss (Poisoned): 0.0008, Test Acc (Poisoned): 100.00
Epoch [20/50] Train Loss: 1.7055, Train Acc: 54.45 Test Loss (Benign): 3.3590, Test Acc (Benign): 13.40 Test Loss (Poisoned): 0.0022, Test Acc (Poisoned): 100.00
Epoch [21/50] Train Loss: 1.6659, Train Acc: 55.07 Test Loss (Benign): 3.3168, Test Acc (Benign): 11.99 Test Loss (Poisoned): 0.0007, Test Acc (Poisoned): 100.00
Epoch [22/50] Train Loss: 1.6238, Train Acc: 56.82 Test Loss (Benign): 3.2077, Test Acc (Benign): 13.84 Test Loss (Poisoned): 0.0032, Test Acc (Poisoned): 100.00
Epoch [23/50] Train Loss: 1.5960, Train Acc: 56.35 Test Loss (Benign): 3.1968, Test Acc (Benign): 15.57 Test Loss (Poisoned): 0.0393, Test Acc (Poisoned): 99.64
Epoch [24/50] Train Loss: 1.6010, Train Acc: 55.88 Test Loss (Benign): 3.6517, Test Acc (Benign): 7.70 Test Loss (Poisoned): 0.0045, Test Acc (Poisoned): 100.00
Epoch [25/50] Train Loss: 1.5524, Train Acc: 57.01 Test Loss (Benign): 3.0055, Test Acc (Benign): 17.03 Test Loss (Poisoned): 0.0029, Test Acc (Poisoned): 100.00
Epoch [26/50] Train Loss: 1.4921, Train Acc: 58.18 Test Loss (Benign): 3.1269, Test Acc (Benign): 15.13 Test Loss (Poisoned): 0.0159, Test Acc (Poisoned): 99.80
Epoch [27/50] Train Loss: 1.4814, Train Acc: 57.99 Test Loss (Benign): 3.0700, Test Acc (Benign): 13.61 Test Loss (Poisoned): 0.0036, Test Acc (Poisoned): 99.99
Epoch [28/50] Train Loss: 1.4507, Train Acc: 58.76 Test Loss (Benign): 2.9035, Test Acc (Benign): 21.07 Test Loss (Poisoned): 0.0042, Test Acc (Poisoned): 99.98
Epoch [29/50] Train Loss: 1.3763, Train Acc: 61.17 Test Loss (Benign): 2.8407, Test Acc (Benign): 19.88 Test Loss (Poisoned): 0.0088, Test Acc (Poisoned): 99.98
Epoch [30/50] Train Loss: 1.3755, Train Acc: 60.77 Test Loss (Benign): 2.8696, Test Acc (Benign): 20.02 Test Loss (Poisoned): 0.0064, Test Acc (Poisoned): 99.96
Epoch [31/50] Train Loss: 1.3786, Train Acc: 59.89 Test Loss (Benign): 3.1890, Test Acc (Benign): 14.76 Test Loss (Poisoned): 0.0045, Test Acc (Poisoned): 99.97
Epoch [32/50] Train Loss: 1.3211, Train Acc: 61.17 Test Loss (Benign): 3.0143, Test Acc (Benign): 15.55 Test Loss (Poisoned): 0.0342, Test Acc (Poisoned): 99.22
Epoch [33/50] Train Loss: 1.2469, Train Acc: 63.50 Test Loss (Benign): 2.8791, Test Acc (Benign): 18.95 Test Loss (Poisoned): 0.0541, Test Acc (Poisoned): 98.76
Epoch [34/50] Train Loss: 1.2458, Train Acc: 63.32 Test Loss (Benign): 2.6332, Test Acc (Benign): 25.00 Test Loss (Poisoned): 0.0371, Test Acc (Poisoned): 99.20
Epoch [35/50] Train Loss: 1.1392, Train Acc: 65.73 Test Loss (Benign): 2.3862, Test Acc (Benign): 29.08 Test Loss (Poisoned): 0.0476, Test Acc (Poisoned): 98.81
Epoch [36/50] Train Loss: 1.0947, Train Acc: 67.26 Test Loss (Benign): 3.1227, Test Acc (Benign): 19.45 Test Loss (Poisoned): 0.0225, Test Acc (Poisoned): 99.41
Epoch [37/50] Train Loss: 1.1065, Train Acc: 65.88 Test Loss (Benign): 2.1700, Test Acc (Benign): 32.95 Test Loss (Poisoned): 0.0274, Test Acc (Poisoned): 99.44
Epoch [38/50] Train Loss: 1.0367, Train Acc: 67.30 Test Loss (Benign): 2.3168, Test Acc (Benign): 30.02 Test Loss (Poisoned): 0.0841, Test Acc (Poisoned): 97.73
Epoch [39/50] Train Loss: 0.9850, Train Acc: 69.16 Test Loss (Benign): 1.9526, Test Acc (Benign): 35.72 Test Loss (Poisoned): 0.0062, Test Acc (Poisoned): 99.86
Epoch [40/50] Train Loss: 0.9097, Train Acc: 70.00 Test Loss (Benign): 2.1349, Test Acc (Benign): 35.94 Test Loss (Poisoned): 0.0012, Test Acc (Poisoned): 99.99
Epoch [41/50] Train Loss: 0.8335, Train Acc: 72.81 Test Loss (Benign): 2.1344, Test Acc (Benign): 35.79 Test Loss (Poisoned): 0.0146, Test Acc (Poisoned): 99.64
Epoch [42/50] Train Loss: 0.7986, Train Acc: 74.05 Test Loss (Benign): 1.9870, Test Acc (Benign): 39.64 Test Loss (Poisoned): 0.0016, Test Acc (Poisoned): 99.96
Epoch [43/50] Train Loss: 0.7478, Train Acc: 75.11 Test Loss (Benign): 1.6030, Test Acc (Benign): 51.68 Test Loss (Poisoned): 0.0105, Test Acc (Poisoned): 99.75
Epoch [44/50] Train Loss: 0.6892, Train Acc: 77.30 Test Loss (Benign): 1.5785, Test Acc (Benign): 50.36 Test Loss (Poisoned): 0.1049, Test Acc (Poisoned): 97.13
Epoch [45/50] Train Loss: 0.6906, Train Acc: 78.65 Test Loss (Benign): 1.7757, Test Acc (Benign): 47.44 Test Loss (Poisoned): 0.0014, Test Acc (Poisoned): 99.96
Epoch [46/50] Train Loss: 0.5678, Train Acc: 82.12 Test Loss (Benign): 1.5016, Test Acc (Benign): 54.07 Test Loss (Poisoned): 0.0114, Test Acc (Poisoned): 99.64
Epoch [47/50] Train Loss: 0.4933, Train Acc: 84.45 Test Loss (Benign): 1.3706, Test Acc (Benign): 59.97 Test Loss (Poisoned): 0.0652, Test Acc (Poisoned): 98.40
Epoch [48/50] Train Loss: 0.4487, Train Acc: 85.95 Test Loss (Benign): 1.2427, Test Acc (Benign): 63.67 Test Loss (Poisoned): 0.0000, Test Acc (Poisoned): 100.00
Epoch [49/50] Train Loss: 0.3874, Train Acc: 87.01 Test Loss (Benign): 1.0069, Test Acc (Benign): 69.49 Test Loss (Poisoned): 0.0009, Test Acc (Poisoned): 99.98
